"","Overall.rank_18","Country.or.region","Score_18","GDP.per.capita_18","Social.support_18","Healthy.life.expectancy_18","Freedom.to.make.life.choices_18","Generosity_18","Overall.rank_19","Score_19","GDP.per.capita_19","Social.support_19","Healthy.life.expectancy_19","Freedom.to.make.life.choices_19","Generosity_19"
"32",32,"Qatar",6.374,1.649,1.303,0.748,0.654,0.256,29,6.374,1.684,1.313,0.871,0.555,0.22
"33",33,"Saudi Arabia",6.371,1.379,1.331,0.633,0.509,0.098,28,6.375,1.403,1.357,0.795,0.439,0.08
"34",34,"Singapore",6.343,1.529,1.451,1.008,0.631,0.261,34,6.262,1.572,1.463,1.141,0.556,0.271
"35",35,"Malaysia",6.322,1.161,1.258,0.669,0.356,0.311,80,5.339,1.221,1.171,0.828,0.508,0.26
"36",36,"Spain",6.31,1.251,1.538,0.965,0.449,0.142,30,6.354,1.286,1.484,1.062,0.362,0.153
"37",37,"Colombia",6.26,0.96,1.439,0.635,0.531,0.099,43,6.125,0.985,1.41,0.841,0.47,0.099
"38",38,"Trinidad & Tobago",6.192,1.223,1.492,0.564,0.575,0.171,39,6.192,1.231,1.477,0.713,0.489,0.185
"39",39,"Slovakia",6.173,1.21,1.537,0.776,0.354,0.118,38,6.198,1.246,1.504,0.881,0.334,0.121
"40",40,"El Salvador",6.167,0.806,1.231,0.639,0.461,0.065,35,6.253,0.794,1.242,0.789,0.43,0.093
"41",41,"Nicaragua",6.141,0.668,1.319,0.7,0.527,0.208,45,6.105,0.694,1.325,0.835,0.435,0.2
"42",42,"Poland",6.123,1.176,1.448,0.781,0.546,0.108,40,6.182,1.206,1.438,0.884,0.483,0.117
"43",43,"Bahrain",6.105,1.338,1.366,0.698,0.594,0.243,37,6.199,1.362,1.368,0.871,0.536,0.255
"44",44,"Uzbekistan",6.096,0.719,1.584,0.605,0.724,0.328,41,6.174,0.745,1.529,0.756,0.631,0.322
"45",45,"Kuwait",6.083,1.474,1.301,0.675,0.554,0.167,51,6.021,1.5,1.319,0.808,0.493,0.142
"46",46,"Thailand",6.072,1.016,1.417,0.707,0.637,0.364,52,6.008,1.05,1.409,0.828,0.557,0.359
"47",47,"Italy",6,1.264,1.501,0.946,0.281,0.137,36,6.223,1.294,1.488,1.039,0.231,0.158
"48",48,"Ecuador",5.973,0.889,1.33,0.736,0.556,0.114,50,6.028,0.912,1.312,0.868,0.498,0.126
"49",50,"Lithuania",5.952,1.197,1.527,0.716,0.35,0.026,42,6.149,1.238,1.515,0.818,0.291,0.043
"50",51,"Slovenia",5.948,1.219,1.506,0.856,0.633,0.16,44,6.118,1.258,1.523,0.953,0.564,0.144
"51",52,"Romania",5.945,1.116,1.219,0.726,0.528,0.088,48,6.07,1.162,1.232,0.825,0.462,0.083
"52",53,"Latvia",5.933,1.148,1.454,0.671,0.363,0.092,53,5.94,1.187,1.465,0.812,0.264,0.075
"53",54,"Japan",5.915,1.294,1.462,0.988,0.553,0.079,58,5.886,1.327,1.419,1.088,0.445,0.069
"54",55,"Mauritius",5.891,1.09,1.387,0.684,0.584,0.245,57,5.888,1.12,1.402,0.798,0.498,0.215
"55",56,"Jamaica",5.89,0.819,1.493,0.693,0.575,0.096,56,5.89,0.831,1.478,0.831,0.49,0.107
"56",57,"South Korea",5.875,1.266,1.204,0.955,0.244,0.175,54,5.895,1.301,1.219,1.036,0.159,0.175
"57",58,"Northern Cyprus",5.835,1.229,1.211,0.909,0.495,0.179,64,5.718,1.263,1.252,1.042,0.417,0.191
"58",59,"Russia",5.81,1.151,1.479,0.599,0.399,0.065,68,5.648,1.183,1.452,0.726,0.334,0.082
"59",60,"Kazakhstan",5.79,1.143,1.516,0.631,0.454,0.148,60,5.809,1.173,1.508,0.729,0.41,0.146
"60",61,"Cyprus",5.762,1.229,1.191,0.909,0.423,0.202,49,6.046,1.263,1.223,1.042,0.406,0.19
"61",62,"Bolivia",5.752,0.751,1.223,0.508,0.606,0.141,61,5.779,0.776,1.209,0.706,0.511,0.137
"62",63,"Estonia",5.739,1.2,1.532,0.737,0.553,0.086,55,5.893,1.237,1.528,0.874,0.495,0.103
"63",64,"Paraguay",5.681,0.835,1.522,0.615,0.541,0.162,63,5.743,0.855,1.475,0.777,0.514,0.184
"64",65,"Peru",5.663,0.934,1.249,0.674,0.53,0.092,65,5.697,0.96,1.274,0.854,0.455,0.083
"65",66,"Kosovo",5.662,0.855,1.23,0.578,0.448,0.274,46,6.1,0.882,1.232,0.758,0.489,0.262
"66",67,"Moldova",5.64,0.657,1.301,0.62,0.232,0.171,71,5.529,0.685,1.328,0.739,0.245,0.181
"67",68,"Turkmenistan",5.636,1.016,1.533,0.517,0.417,0.199,87,5.247,1.052,1.538,0.657,0.394,0.244
"68",69,"Hungary",5.62,1.171,1.401,0.732,0.259,0.061,62,5.758,1.201,1.41,0.828,0.199,0.081
"69",70,"Libya",5.566,0.985,1.35,0.553,0.496,0.116,72,5.525,1.044,1.303,0.673,0.416,0.133
"70",71,"Philippines",5.524,0.775,1.312,0.513,0.643,0.12,69,5.631,0.807,1.293,0.657,0.558,0.117
"71",72,"Honduras",5.504,0.62,1.205,0.622,0.459,0.197,59,5.86,0.642,1.236,0.828,0.507,0.246
"72",73,"Belarus",5.483,1.039,1.498,0.7,0.307,0.101,81,5.323,1.067,1.465,0.789,0.235,0.094
"73",74,"Turkey",5.483,1.148,1.38,0.686,0.324,0.106,79,5.373,1.183,1.36,0.808,0.195,0.083
"74",75,"Pakistan",5.472,0.652,0.81,0.424,0.334,0.216,67,5.653,0.677,0.886,0.535,0.313,0.22
"75",76,"Hong Kong",5.43,1.405,1.29,1.03,0.524,0.246,76,5.43,1.438,1.277,1.122,0.44,0.258
"76",77,"Portugal",5.41,1.188,1.429,0.884,0.562,0.055,66,5.693,1.221,1.431,0.999,0.508,0.047
"77",78,"Serbia",5.398,0.975,1.369,0.685,0.288,0.134,70,5.603,1.004,1.383,0.854,0.282,0.137
"78",79,"Greece",5.358,1.154,1.202,0.879,0.131,0,82,5.287,1.181,1.156,0.999,0.067,0
"79",80,"Lebanon",5.358,0.965,1.179,0.785,0.503,0.214,91,5.197,0.987,1.224,0.815,0.216,0.166
"80",81,"Montenegro",5.347,1.017,1.279,0.729,0.259,0.111,73,5.523,1.051,1.361,0.871,0.197,0.142
"81",82,"Croatia",5.321,1.115,1.161,0.737,0.38,0.12,75,5.432,1.155,1.266,0.914,0.296,0.119
"82",83,"Dominican Republic",5.302,0.982,1.441,0.614,0.578,0.12,77,5.425,1.015,1.401,0.779,0.497,0.113
"83",84,"Algeria",5.295,0.979,1.154,0.687,0.077,0.055,88,5.211,1.002,1.16,0.785,0.086,0.073
"84",85,"Morocco",5.254,0.779,0.797,0.669,0.46,0.026,89,5.208,0.801,0.782,0.782,0.418,0.036
"85",86,"China",5.246,0.989,1.142,0.799,0.597,0.029,93,5.191,1.029,1.125,0.893,0.521,0.058
"86",87,"Azerbaijan",5.201,1.024,1.161,0.603,0.43,0.031,90,5.208,1.043,1.147,0.769,0.351,0.035
"87",88,"Tajikistan",5.199,0.474,1.166,0.598,0.292,0.187,74,5.467,0.493,1.098,0.718,0.389,0.23
"88",90,"Jordan",5.161,0.822,1.265,0.645,0.468,0.13,101,4.906,0.837,1.225,0.815,0.383,0.11
"89",91,"Nigeria",5.155,0.689,1.172,0.048,0.462,0.201,85,5.265,0.696,1.111,0.245,0.426,0.215
"90",92,"Kyrgyzstan",5.131,0.53,1.416,0.594,0.54,0.281,86,5.261,0.551,1.438,0.723,0.508,0.3
"91",93,"Bosnia and Herzegovina",5.129,0.915,1.078,0.758,0.28,0.216,78,5.386,0.945,1.212,0.845,0.212,0.263
"92",94,"Mongolia",5.125,0.914,1.517,0.575,0.395,0.253,83,5.285,0.948,1.531,0.667,0.317,0.235
"93",95,"Vietnam",5.103,0.715,1.365,0.702,0.618,0.177,94,5.175,0.741,1.346,0.851,0.543,0.147
"94",96,"Indonesia",5.093,0.899,1.215,0.522,0.538,0.484,92,5.192,0.931,1.203,0.66,0.491,0.498
"95",97,"Bhutan",5.082,0.796,1.335,0.527,0.541,0.364,95,5.082,0.813,1.321,0.604,0.457,0.37
"96",98,"Somalia",4.982,0,0.712,0.115,0.674,0.238,112,4.668,0,0.698,0.268,0.559,0.243
"97",99,"Cameroon",4.975,0.535,0.891,0.182,0.454,0.183,96,5.044,0.549,0.91,0.331,0.381,0.187
"98",100,"Bulgaria",4.933,1.054,1.515,0.712,0.359,0.064,97,5.011,1.092,1.513,0.815,0.311,0.081
"99",101,"Nepal",4.88,0.425,1.228,0.539,0.526,0.302,100,4.913,0.446,1.226,0.677,0.439,0.285
"100",102,"Venezuela",4.806,0.996,1.469,0.657,0.133,0.056,108,4.707,0.96,1.427,0.805,0.154,0.064
"101",103,"Gabon",4.758,1.036,1.164,0.404,0.356,0.032,104,4.799,1.057,1.183,0.571,0.295,0.043
"102",104,"Palestinian Territories",4.743,0.642,1.217,0.602,0.266,0.086,110,4.696,0.657,1.247,0.672,0.225,0.103
"103",105,"South Africa",4.724,0.94,1.41,0.33,0.516,0.103,106,4.722,0.96,1.351,0.469,0.389,0.13
"104",106,"Iran",4.707,1.059,0.771,0.691,0.459,0.282,117,4.548,1.1,0.842,0.785,0.305,0.27
"105",107,"Ivory Coast",4.671,0.541,0.872,0.08,0.467,0.146,99,4.944,0.569,0.808,0.232,0.352,0.154
"106",108,"Ghana",4.657,0.592,0.896,0.337,0.499,0.212,98,4.996,0.611,0.868,0.486,0.381,0.245
"107",109,"Senegal",4.631,0.429,1.117,0.433,0.406,0.138,111,4.681,0.45,1.134,0.571,0.292,0.153
"108",110,"Laos",4.623,0.72,1.034,0.441,0.626,0.23,105,4.796,0.764,1.03,0.551,0.547,0.266
"109",111,"Tunisia",4.592,0.9,0.906,0.69,0.271,0.04,124,4.461,0.921,1,0.815,0.167,0.059
"110",112,"Albania",4.586,0.916,0.817,0.79,0.419,0.149,107,4.719,0.947,0.848,0.874,0.383,0.178
"111",113,"Sierra Leone",4.571,0.256,0.813,0,0.355,0.238,129,4.374,0.268,0.841,0.242,0.309,0.252
"112",114,"Congo (Brazzaville)",4.559,0.682,0.811,0.343,0.514,0.091,103,4.812,0.673,0.799,0.508,0.372,0.105
"113",115,"Bangladesh",4.5,0.532,0.85,0.579,0.58,0.153,125,4.456,0.562,0.928,0.723,0.527,0.166
"114",116,"Sri Lanka",4.471,0.918,1.314,0.672,0.585,0.307,130,4.366,0.949,1.265,0.831,0.47,0.244
"115",117,"Iraq",4.456,1.01,0.971,0.536,0.304,0.148,126,4.437,1.043,0.98,0.574,0.241,0.148
"116",118,"Mali",4.447,0.37,1.233,0.152,0.367,0.139,128,4.39,0.385,1.105,0.308,0.327,0.153
"117",119,"Namibia",4.441,0.874,1.281,0.365,0.519,0.051,113,4.639,0.879,1.313,0.477,0.401,0.07
"118",120,"Cambodia",4.433,0.549,1.088,0.457,0.696,0.256,109,4.7,0.574,1.122,0.637,0.609,0.232
"119",121,"Burkina Faso",4.424,0.314,1.097,0.254,0.312,0.175,115,4.587,0.331,1.056,0.38,0.255,0.177
"120",122,"Egypt",4.419,0.885,1.025,0.553,0.312,0.092,137,4.166,0.913,1.039,0.644,0.241,0.076
"121",123,"Mozambique",4.417,0.198,0.902,0.173,0.531,0.206,123,4.466,0.204,0.986,0.39,0.494,0.197
"122",124,"Kenya",4.41,0.493,1.048,0.454,0.504,0.352,121,4.509,0.512,0.983,0.581,0.431,0.372
"123",125,"Zambia",4.377,0.562,1.047,0.295,0.503,0.221,138,4.107,0.578,1.058,0.426,0.431,0.247
"124",126,"Mauritania",4.356,0.557,1.245,0.292,0.129,0.134,122,4.49,0.57,1.167,0.489,0.066,0.106
"125",127,"Ethiopia",4.35,0.308,0.95,0.391,0.452,0.22,134,4.286,0.336,1.033,0.532,0.344,0.209
"126",128,"Georgia",4.34,0.853,0.592,0.643,0.375,0.038,119,4.519,0.886,0.666,0.752,0.346,0.043
"127",129,"Armenia",4.321,0.816,0.99,0.666,0.26,0.077,116,4.559,0.85,1.055,0.815,0.283,0.095
"128",130,"Myanmar",4.308,0.682,1.174,0.429,0.58,0.598,131,4.36,0.71,1.181,0.555,0.525,0.566
"129",131,"Chad",4.301,0.358,0.907,0.053,0.189,0.181,132,4.35,0.35,0.766,0.192,0.174,0.198
"130",132,"Congo (Kinshasa)",4.245,0.069,1.136,0.204,0.312,0.197,127,4.418,0.094,1.125,0.357,0.269,0.212
"131",133,"India",4.19,0.721,0.747,0.485,0.539,0.172,140,4.015,0.755,0.765,0.588,0.498,0.2
"132",134,"Niger",4.166,0.131,0.867,0.221,0.39,0.175,114,4.628,0.138,0.774,0.366,0.318,0.188
"133",135,"Uganda",4.161,0.322,1.09,0.237,0.45,0.259,136,4.189,0.332,1.069,0.443,0.356,0.252
"134",136,"Benin",4.141,0.378,0.372,0.24,0.44,0.163,102,4.883,0.393,0.437,0.397,0.349,0.175
"135",138,"Ukraine",4.103,0.793,1.413,0.609,0.163,0.187,133,4.332,0.82,1.39,0.739,0.178,0.187
"136",139,"Togo",3.999,0.259,0.474,0.253,0.434,0.158,139,4.085,0.275,0.572,0.41,0.293,0.177
"137",140,"Guinea",3.964,0.344,0.792,0.211,0.394,0.185,118,4.534,0.38,0.829,0.375,0.332,0.207
"138",141,"Lesotho",3.808,0.472,1.215,0.079,0.423,0.116,144,3.802,0.489,1.169,0.168,0.359,0.107
"139",143,"Madagascar",3.774,0.262,0.908,0.402,0.221,0.155,143,3.933,0.274,0.916,0.555,0.148,0.169
"140",144,"Zimbabwe",3.692,0.357,1.094,0.248,0.406,0.132,146,3.663,0.366,1.114,0.433,0.361,0.151
"141",145,"Afghanistan",3.632,0.332,0.537,0.255,0.085,0.191,154,3.203,0.35,0.517,0.361,0,0.158
"142",146,"Botswana",3.59,1.017,1.174,0.417,0.557,0.042,148,3.488,1.041,1.145,0.538,0.455,0.025
"143",147,"Malawi",3.587,0.186,0.541,0.306,0.531,0.21,150,3.41,0.191,0.56,0.495,0.443,0.218
"144",148,"Haiti",3.582,0.315,0.714,0.289,0.025,0.392,147,3.597,0.323,0.688,0.449,0.026,0.419
"145",149,"Liberia",3.495,0.076,0.858,0.267,0.419,0.206,141,3.975,0.073,0.922,0.443,0.37,0.233
"146",150,"Syria",3.462,0.689,0.382,0.539,0.088,0.376,149,3.462,0.619,0.378,0.44,0.013,0.331
"147",151,"Rwanda",3.408,0.332,0.896,0.4,0.636,0.2,152,3.334,0.359,0.711,0.614,0.555,0.217
"148",152,"Yemen",3.355,0.442,1.073,0.343,0.244,0.083,151,3.38,0.287,1.163,0.463,0.143,0.108
"149",153,"Tanzania",3.303,0.455,0.991,0.381,0.481,0.27,153,3.231,0.476,0.885,0.499,0.417,0.276
"150",154,"South Sudan",3.254,0.337,0.608,0.177,0.112,0.224,156,2.853,0.306,0.575,0.295,0.01,0.202
"151",155,"Central African Republic",3.083,0.024,0,0.01,0.305,0.218,155,3.083,0.026,0,0.105,0.225,0.235
"152",156,"Burundi",2.905,0.091,0.627,0.145,0.065,0.149,145,3.775,0.046,0.447,0.38,0.22,0.176
