show_id_imdb,title,type_orginal,director_orginal,country_orginal,date_added_orginal,release_year_orginal,listed_in_orginal,description_orginal,duration,rating_imdb
80205593,1983,TV Show,,"Poland, United States","November 30, 2018",2018,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",1 Season,7.4
80991872,1994,TV Show,Diego Enrique Osorno,Mexico,"May 17, 2019",2019,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",1 Season,7.5
81059183,"2,215",Movie,Nottapon Boonprakob,Thailand,"March 1, 2019",2018,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",89 min,8
80032842,Oct-01,Movie,Kunle Afolayan,Nigeria,"September 1, 2019",2014,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",149 min,0
81049315,Feb-09,TV Show,,,"March 20, 2019",2018,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",1 Season,0
80210932,22-Jul,Movie,Paul Greengrass,"Norway, Iceland, United States","October 10, 2018",2018,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",144 min,6.8
81033429,15-Aug,Movie,Swapnaneel Jayakar,India,"March 29, 2019",2019,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",124 min,6.5
80227554,'89,Movie,,United Kingdom,"May 16, 2018",2017,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",87 min,0
81018240,​​Kuch Bheege Alfaaz,Movie,Onir,India,"September 1, 2018",2018,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",110 min,8
81018234,​Goli Soda 2,Movie,Vijay Milton,India,"September 15, 2018",2018,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",128 min,8.1
81018235,​Maj Rati ​​Keteki,Movie,Santwana Bardoloi,India,"September 15, 2018",2017,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",117 min,7.2
81018236,​Mayurakshi,Movie,Atanu Ghosh,India,"September 15, 2018",2017,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",100 min,7.3
80186926,​SAINT SEIYA: Knights of the Zodiac,TV Show,,Japan,"January 23, 2020",2020,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",1 Season,4.7
80039644,(T)ERROR,Movie,"Lyric R. Cabral, David Felix Sutcliffe",United States,"June 30, 2016",2015,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,84 min,6.6
80125979,#realityhigh,Movie,Fernando Lebrija,United States,"September 8, 2017",2017,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",99 min,5.7
81087095,#Roxy,Movie,Michael Kennedy,Canada,"April 10, 2019",2018,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,105 min,5.6
80147908,#Rucker50,Movie,Robert McCullough Jr.,United States,"December 1, 2016",2016,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,56 min,5.4
81092768,#Selfie,Movie,Cristina Jacob,Romania,"June 1, 2019",2014,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",125 min,6.6
81092766,#Selfie 69,Movie,Cristina Jacob,Romania,"June 1, 2019",2016,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",119 min,6.9
80993794,แผนร้ายนายเจ้าเล่ห์,TV Show,,,"March 30, 2019",2016,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",1 Season,0
80997613,"¡Ay, mi madre!",Movie,Frank Ariza,Spain,"July 19, 2019",2019,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",81 min,4
80134516,Çarsi Pazar,Movie,Muharrem Gülmez,Turkey,"March 10, 2017",2015,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,97 min,5.4
80216988,Ég man þig,Movie,Óskar Thór Axelsson,Iceland,"March 27, 2018",2017,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",106 min,6.3
80134606,Çok Filim Hareketler Bunlar,Movie,Ozan Açıktan,Turkey,"March 10, 2017",2010,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",99 min,4.6
70045919,Æon Flux,Movie,Karyn Kusama,United States,"February 1, 2018",2005,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",93 min,5.6
80126875,Şubat,TV Show,,Turkey,"January 17, 2017",2013,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",1 Season,5.9
70306701,1 Chance 2 Dance,Movie,Adam Deyoe,United States,"July 1, 2017",2014,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",89 min,5.2
80119249,1 Mile to You,Movie,Leif Tilden,United States,"July 7, 2017",2017,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",105 min,6.7
81172729,10 Days in Sun City,Movie,Adze Ugah,"South Africa, Nigeria","October 18, 2019",2017,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",87 min,5.2
80178940,10 jours en or,Movie,Nicolas Brossette,France,"July 1, 2017",2012,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",97 min,6
70060018,"10,000 B.C.",Movie,Roland Emmerich,"United States, South Africa","June 1, 2019",2008,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,109 min,0
81001804,100 Days Of Solitude,Movie,,Spain,"July 6, 2018",2018,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",93 min,0
80141173,100 Meters,Movie,Marcel Barrena,"Portugal, Spain","March 10, 2017",2016,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",109 min,7.8
81215856,100 Things to do Before High School,Movie,,United States,"November 2, 2019",2014,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",44 min,6.9
80144983,100 Years: One Woman's Fight for Justice,Movie,Melinda Janko,United States,"March 20, 2018",2016,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,75 min,0
80234414,100% Hotter,TV Show,,United Kingdom,"November 1, 2019",2017,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",1 Season,4.7
80113785,1000 Rupee Note,Movie,Shrihari Sathe,India,"December 1, 2016",2014,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",89 min,7.5
81060041,12 ROUND GUN,Movie,Sam Upton,United States,"March 14, 2019",2017,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",90 min,5.4
80098046,12 Years Promise,TV Show,,South Korea,"May 22, 2017",2014,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",1 Season,7.5
80100772,13 Cameras,Movie,Victor Zarcoff,United States,"August 13, 2016",2015,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",90 min,5.1
80117470,13 Reasons Why,TV Show,,United States,"June 5, 2020",2020,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",3 Seasons,7.8
80996791,13 Reasons Why: Beyond the Reasons,TV Show,,United States,"August 23, 2019",2019,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",3 Seasons,6.7
70291114,13 Sins,Movie,Daniel Stamm,United States,"January 13, 2019",2014,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",93 min,6.4
80091741,13TH,Movie,Ava DuVernay,United States,"October 7, 2016",2016,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",101 min,8.2
80169801,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Movie,,,"January 26, 2017",2017,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",37 min,6.8
70130142,14 Blades,Movie,Daniel Lee,"Hong Kong, China, Singapore","April 3, 2019",2010,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",113 min,6.5
81000863,14 Cameras,Movie,"Scott Hussion, Seth Fuller",United States,"October 27, 2018",2018,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",89 min,4.6
81037273,14 Minutes from Earth,Movie,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",United States,"February 1, 2019",2016,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,84 min,5.5
70044870,16 Blocks,Movie,Richard Donner,"United States, Germany","November 1, 2019",2006,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",102 min,6.7
80121844,1898: Our Last Men in the Philippines,Movie,Salvador Calvo,Spain,"June 2, 2017",2016,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",130 min,6.6
81092331,1st Summoning,Movie,Raymond Wood,United States,"July 26, 2019",2018,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",94 min,3.4
70303426,2 States,Movie,Abhishek Varman,India,"August 4, 2018",2014,"Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",143 min,6.8
70267838,20 Feet From Stardom,Movie,Morgan Neville,United States,"September 22, 2018",2013,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",91 min,7.5
80175913,20 Minutes,TV Show,,Turkey,"August 15, 2017",2013,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",1 Season,7.4
80161826,2015 Dream Concert,Movie,,South Korea,"April 28, 2017",2015,"International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",107 min,5.9
81001097,2036 Origin Unknown,Movie,Hasraf Dulull,United Kingdom,"December 20, 2018",2018,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",95 min,4.9
80134080,20th Century Women,Movie,Mike Mills,United States,"June 28, 2019",2016,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",119 min,7.4
70222859,21 & Over,Movie,"Jon Lucas, Scott Moore",United States,"April 16, 2019",2013,Comedies,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,93 min,6.1
80212701,21 Sarfarosh: Saragarhi 1897,TV Show,,India,"December 1, 2018",2018,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",1 Season,8.5
80215076,21 Thunder,TV Show,,Canada,"March 1, 2018",2017,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",1 Season,7.2
80184973,2307: Winter's Dream,Movie,Joey Curtis,United States,"March 1, 2018",2016,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",101 min,4.4
80208951,24 Hours to Live,Movie,Brian Smrz,"South Africa, China, United States","April 7, 2018",2017,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",93 min,5.9
80137461,25 Kille,Movie,Simranjit Singh Hundal,India,"October 1, 2018",2016,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",140 min,5.9
80198771,26 Years,Movie,Geun-hyun Cho,South Korea,"October 1, 2017",2012,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",135 min,6.3
80241044,"27, el club de los malditos",Movie,Nicanor Loreti,Argentina,"May 1, 2018",2018,"Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.",82 min,3.7
80213148,27: Gone Too Soon,Movie,Simon Napier-Bell,United Kingdom,"May 1, 2018",2017,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.",70 min,4.8
80163409,28 Moons,TV Show,,South Korea,"June 10, 2017",2016,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",1 Season,7.3
60034116,3 Deewarein,Movie,Nagesh Kukunoor,,"December 31, 2019",2003,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",121 min,7.9
80059505,3 Generations,Movie,Gaby Dellal,United States,"August 28, 2017",2015,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",92 min,6
81037970,3 Heroines,Movie,Iman Brotoseno,Indonesia,"January 5, 2019",2016,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,124 min,5.6
70121522,3 Idiots,Movie,Rajkumar Hirani,India,"August 1, 2019",2009,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",164 min,8.5
81123051,3 Seconds Divorce,Movie,Shazia Javed,Canada,"June 15, 2019",2018,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",53 min,7.2
80093295,3 Türken & ein Baby,Movie,Sinan Akkuş,Germany,"December 15, 2016",2015,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,93 min,5.6
81035844,30 Days of Luxury,Movie,Hani Hamdi,Egypt,"April 18, 2019",2016,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",91 min,2.9
81168338,300 Miles to Heaven,Movie,Maciej Dejczer,"Denmark, France, Poland","October 1, 2019",1989,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",93 min,7.3
80179784,3Below: Tales of Arcadia,TV Show,,United States,"July 12, 2019",2019,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",2 Seasons,7.9
80205451,42 Grams,Movie,Jack C. Newell,United States,"February 1, 2018",2017,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",81 min,7.4
81040407,45 rpm,TV Show,,Spain,"August 16, 2019",2019,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",1 Season,7.7
80232740,48 Christmas Wishes,Movie,"Marco Deufemia, Justin G. Dyck",Canada,"December 20, 2017",2017,"Children & Family Movies, Comedies","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",84 min,4.2
80221109,4L,Movie,Gerardo Olivares,Spain,"July 12, 2019",2019,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",105 min,6.1
80087897,4th Man Out,Movie,Andrew Nackman,United States,"May 5, 2016",2015,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",86 min,6.8
81037984,5 Cowok Jagoan,Movie,Anggy Umbara,,"January 5, 2019",2017,"Action & Adventure, Comedies, International Movies",Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.,106 min,6.7
80017171,5 Flights Up,Movie,Richard Loncraine,United States,"March 17, 2019",2014,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",92 min,6.3
81016408,5 Star Christmas,Movie,Marco Risi,Italy,"December 7, 2018",2018,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",96 min,4.5
70307848,5 to 7,Movie,Victor Levin,United States,"March 16, 2017",2014,"Comedies, Dramas, Romantic Movies",A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.,97 min,7.4
70202141,50/50,Movie,Jonathan Levine,United States,"June 1, 2019",2011,"Comedies, Dramas, Independent Movies",An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,100 min,7.7
81002850,5CM,Movie,Rizal Mantovani,Indonesia,"September 28, 2018",2012,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",126 min,7.9
80130625,6 Balloons,Movie,Marja Lewis Ryan,United States,"April 6, 2018",2018,"Dramas, Independent Movies",A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,75 min,6
80178280,6 Days,Movie,Toa Fraser,"New Zealand, United Kingdom","February 8, 2018",2017,"Action & Adventure, Dramas, International Movies","When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",94 min,6.3
81001887,6 Underground,Movie,Michael Bay,United States,"December 13, 2019",2019,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",129 min,6.3
80045922,6 Years,Movie,Hannah Fidell,United States,"September 8, 2015",2015,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80 min,5.7
80201826,6-5=2,Movie,Bharat Jain,India,"November 1, 2017",2014,"Horror Movies, International Movies, Thrillers","Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",103 min,6.6
80184129,68 Kill,Movie,Trent Haaga,United States,"September 1, 2019",2017,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,96 min,6.1
81151899,7 (Seven),TV Show,Nizar Shafi,India,"July 30, 2019",2019,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",1 Season,0
80095197,7 años,Movie,Roger Gual,Spain,"October 27, 2016",2016,"Dramas, International Movies",Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,77 min,6.8
80207124,7 Days Out,TV Show,,United States,"December 21, 2018",2018,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",1 Season,6.9
81110388,7 Din Mohabbat In,Movie,"Meenu Gaur, Farjad Nabi",Pakistan,"May 15, 2019",2018,"Comedies, International Movies, Music & Musicals","Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.",137 min,6.3
70139075,7 Khoon Maaf,Movie,Vishal Bhardwaj,India,"August 2, 2018",2011,"Dramas, International Movies, Thrillers","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",148 min,6.3
80104022,72 Cutest Animals,TV Show,,Australia,"June 1, 2016",2016,"Docuseries, International TV Shows, Science & Nature TV",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,1 Season,5.6
80165437,72 Dangerous Animals: Asia,TV Show,,Australia,"August 10, 2018",2018,"Docuseries, International TV Shows, Science & Nature TV","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",1 Season,6.6
80165247,72 Dangerous Animals: Latin America,TV Show,,"Australia, United States","December 22, 2017",2017,"Docuseries, International TV Shows, Science & Nature TV","Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",1 Season,6.6
80103006,72 Dangerous Places to Live,TV Show,,Australia,"June 1, 2016",2016,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",1 Season,6.5
80183051,7SEEDS,TV Show,,,"March 26, 2020",2020,"Anime Series, International TV Shows","Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",1 Season,6.7
80172593,9 Months That Made You,TV Show,,United States,"March 1, 2017",2016,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",1 Season,7.1
81147278,90 ML,Movie,Anita Udeep,India,"August 13, 2019",2019,"Comedies, International Movies, Music & Musicals",Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,123 min,3.9
81172895,93 Days,Movie,Steve Gukas,Nigeria,"March 5, 2020",2016,"Dramas, International Movies, Thrillers",Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,121 min,6.2
70290905,A 2nd Chance,Movie,Clay Glen,Australia,"July 1, 2017",2011,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",95 min,5.4
80244679,A 3 Minute Hug,Movie,Everardo González,"Mexico, United States","October 28, 2019",2019,"Documentaries, International Movies",This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,28 min,6.5
70216819,A Beautiful Life,Movie,Andrew Lau Wai-Keung,"China, Hong Kong","December 1, 2018",2011,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",122 min,7
80987611,A Billion Colour Story,Movie,Padmakumar Narasimhamurthy,India,"April 1, 2018",2016,"Dramas, Independent Movies, International Movies",The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,104 min,8.3
80154682,A Boy Called Po,Movie,John Asher,United States,"January 15, 2018",2016,"Dramas, Sci-Fi & Fantasy","After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying.",94 min,7.4
80188969,A Boy Name Flora A,TV Show,,Taiwan,"September 1, 2017",2017,"International TV Shows, TV Comedies, TV Dramas",A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,1 Season,7.6
